Predictor	coef	CI_Lower	CI_Upper	n	sel
HBG2	-0.0720524744462421	-0.10763187093226	-0.0346376454067553	10000	1
XPR1	-0.0558738981517375	-0.084224107158293	-0.00743900799841455	10000	1
VASP	-0.055407519753636	-0.0818487774667709	-0.016427079772091	10000	1
