kinase,kinase2,cor_cancer,lrt_cancer,eFDR_cancer
ATM,AAK1,-0.677798495652844,29.0086918917509,0.000192678227360308
ATM,AATK,-0.706531901144832,24.3640903273279,0.000192678227360308
ATM,ABL1,0.0711899386203739,0.35254830300164,0.660372960372163
ATM,ABL2,-0.300023478504409,1.3236684659056,0.359673024522653
ATM,ACVR1,-0.0352131802037678,0.0464250323558417,0.884925690020258
ATM,ACVR1B,-0.255105414052138,4.85327559796667,0.0552419354837556
ATM,ACVR1C,-0.477144924285639,11.3484765395593,0.00197368421051959
ATM,ACVR2A,0.206150806219707,3.41325913216701,0.119014084506825
ATM,ACVR2B,-0.3997685437897,5.08428030831078,0.051464435146332
ATM,ACVRL1,-0.305705881820952,5.78883220038699,0.0349344978165149
ATM,ADCK1,-0.0727179192203797,0.508257657491299,0.595365853657785
ATM,ADCK2,0.259391603923965,3.82217015384583,0.0963636363634549
ATM,ADCK5,0.0871781520738204,0.942251175022989,0.451706036744793
ATM,AKT1,-0.140480465842721,-0.410377500844561,1
ATM,AKT2,-0.0487428354744375,0.0203823708967548,0.914906832297156
ATM,AKT3,0.142971527521636,0.813003530018591,0.488174807197293
ATM,ALK,0.00334430957318407,0.0344826319176264,0.895578947367444
ATM,ALPK1,0.184568305185309,1.9568133180228,0.260714285713884
ATM,ALPK2,0.255844307592809,2.59384833246452,0.181587301587003
ATM,ALPK3,0.0144573557307301,0.0865166573481702,0.833333333332405
ATM,AMHR2,-0.286572727229505,4.0506014753845,0.0838345864660022
ATM,ANKK1,-0.599244387977055,21.4672498175653,0.000192678227360308
ATM,ARAF,0.0429955263724417,0.0397523848646415,0.891949152541394
ATM,ATR,0.975584845229725,40.2564915464329,0.000192678227360308
ATM,AURKA,0.573352835184324,14.2342517601766,0.000869565217387387
ATM,AURKB,0.793881477944303,30.8966635571127,0.000192678227360308
ATM,AURKC,0.15451033922393,1.83787622403327,0.281120943952373
ATM,AXL,-0.0484775008834403,-0.0346237910488298,1
ATM,BCKDK,0.258181056826815,3.38505537028436,0.1196491228068
ATM,BLK,-0.0216651450916459,0.00119643099981204,0.967959183672446
ATM,BMP2K,-0.0720580639249802,0.551900442898045,0.584653465345785
ATM,BMPR1A,-0.0650666574194729,-0.0484907099797738,1
ATM,BMPR1B,-0.551513077868299,11.2282892792937,0.00196078431371885
