Model	Variable	coef	HR	CI.low	CI.high	p.value
Model CintAG | cl=2 | age<=40	cl2	-1.02364887157178	0.359281573157944	0.124305709344511	1.03843378949791	0.0587151501178986
Model CintAG | cl=2 | age<=40	cl.male2	2.29562829090321	9.93067340439455	2.06025046558681	47.8671287360494	0.0042267486323546
Model CintAG | cl=2 | age<=40	age.classADO	-0.664856623001256	0.514347267987772	0.227388592341246	1.16344056384968	0.110385218522444
Model CintAG | cl=2 | age<=40	age.classYA	0.727553182245589	2.07000947020607	0.74331285433092	5.7646510238274	0.163832665734853
Model CintAG | cl=2 | age<=40	male	-1.07131448347106	0.342557934598839	0.125707644014965	0.933482919643719	0.0362119545358284
Model CintAG | cl=2 | age<=40	H3F3A_mut	1.36884849049573	3.93082170982743	1.51529757483105	10.1969141712468	0.0048851713089625
Model CintAG | cl=2 | age<=40	Midline	-0.747057380818286	0.47375859474018	0.152800902998004	1.46888664717591	0.195676352770827
Model CintAG | cl=2 | age<=40	is_initial	0.155355376841834	1.16807299344576	0.400871344790963	3.4035720830303	0.775864819411551
