Variable	HR	CI_lower	CI_upper
prog.combined	0.307492146665856	0.173434282759206	0.545171454898859
ado	0.371296744743883	0.135086599048944	1.02053996197991
Grade	0.600048431598986	0.242690058142253	1.48361297953686
Midline	0.961074319585739	0.246822794549934	3.74221452865175
mut_H33A	1.35682321768171	0.460392813400145	3.9986924001789
tumor	32.0588836045536	3.2508570784145	316.154168940449
