Variable	HR	CI_lower	CI_upper
prog.combined.male	0.224710006227771	0.126574272851796	0.39893246677394
prog.combined.female	0.448848979927911	0.297534720437992	0.677115620273678
Grade	0.55786259652928	0.255964622794749	1.21583472437885
Midline	0.753308918071887	0.299222329802972	1.89649725145947
ado	1.08323190656572	0.472405297512289	2.48386580248178
Male	1.11872939648146	0.564297247400433	2.21790105891419
mut_H33A	1.56330184138109	0.725315746315717	3.36944656127969
tumor	2.38685946213895	0.609036550387227	9.35427945725095
